250 141250 191776.7912141601
250 143251 156841.66070742786
250 143250 158546.8477556705
250 143250 171260.0278603826
200 179201 136364.87373395957
200 179202 138902.8571723532
200 179200 129180.09255022307
200 179202 132157.7890369522
200 169201 140037.99858747862
150 233152 100400.14694276682
150 233152 106314.79108049691
150 239150 99193.43817687599
150 237151 108892.86933641449
150 239151 104641.26191401896
300 119301 189107.19054324852
300 119301 201859.78125916934
300 119301 177320.9386090635
350 101350 244584.1817760217
250 143251 176552.616086451
350 95350 204554.75317252404
350 101350 267437.3735865863
300 117302 194727.608727899
300 119301 183510.94862574464
400 89400 225586.03039149847
400 89401 251871.91717094876
400 89401 274343.7434368738
350 99352 210697.90811458384
350 101350 257100.62849531413
400 87401 278553.8559741883
450 79451 273783.33620721614
450 77451 264480.8970574911
400 89401 273810.12630731816
450 79451 259962.28397376827
450 79451 287591.36962404836
450 79452 306800.0304586396
500 71501 379515.25522719783
500 71501 325891.3860645336
500 69500 289169.2775395736
550 61550 328012.6308042264
500 67501 400582.49119271955
550 63551 395793.08213875507
500 71500 340140.90523076756
550 63550 377480.2788670323
550 51550 306336.3480504314
550 61551 344569.9079625046
600 57600 509977.42164931184
600 49600 335054.30510080827
600 51600 332217.06333333394
600 35601 433149.288671667
650 53650 405655.1676048476
600 57600 471982.48032985907
650 53650 388507.36272134405
650 53650 610730.5544827653
650 53650 415874.21662628243
650 53650 367255.76275862375
100 357102 55700.69691572753
100 357101 55426.5286459571
100 357102 54918.10506241885
100 357101 55477.18853769732
100 357101 54581.149870764435
50 688974 28591.1365886087
50 688986 28586.480017010697
50 688979 28589.42289677929
50 688974 28588.354194787844
50 688994 28588.646072389278
